Year,m,d,Time,Time zone,Air temperature (degC)
2022,9,10,00:00,UTC,5.6
2022,9,10,01:00,UTC,4.2
2022,9,10,02:00,UTC,3.7
2022,9,10,03:00,UTC,3
2022,9,10,04:00,UTC,3
2022,9,10,05:00,UTC,6.1
2022,9,10,06:00,UTC,8.5
2022,9,10,07:00,UTC,10.5
2022,9,10,08:00,UTC,12
2022,9,10,09:00,UTC,13.5
2022,9,10,10:00,UTC,13.9
2022,9,10,11:00,UTC,14.1
2022,9,10,12:00,UTC,14.4
2022,9,10,13:00,UTC,14.9
2022,9,10,14:00,UTC,14.7
2022,9,10,15:00,UTC,14.1
2022,9,10,16:00,UTC,13.1
2022,9,10,17:00,UTC,11.2
2022,9,10,18:00,UTC,8.2
2022,9,10,19:00,UTC,7.3
2022,9,10,20:00,UTC,6.7
2022,9,10,21:00,UTC,7.5
2022,9,10,22:00,UTC,7.3
2022,9,10,23:00,UTC,5.9
2022,9,11,00:00,UTC,5.2
2022,9,11,01:00,UTC,4.3
2022,9,11,02:00,UTC,5.4
2022,9,11,03:00,UTC,4.5
2022,9,11,04:00,UTC,5
2022,9,11,05:00,UTC,7.1
2022,9,11,06:00,UTC,9.9
2022,9,11,07:00,UTC,12.5
2022,9,11,08:00,UTC,14.6
2022,9,11,09:00,UTC,15.2
2022,9,11,10:00,UTC,15.6
2022,9,11,11:00,UTC,16.3
2022,9,11,12:00,UTC,16.3
2022,9,11,13:00,UTC,17.4
2022,9,11,14:00,UTC,16.4
2022,9,11,15:00,UTC,16.1
2022,9,11,16:00,UTC,14.8
2022,9,11,17:00,UTC,12.9
2022,9,11,18:00,UTC,9.9
2022,9,11,19:00,UTC,9.3
2022,9,11,20:00,UTC,7.6
2022,9,11,21:00,UTC,6.2
2022,9,11,22:00,UTC,6.7
2022,9,11,23:00,UTC,6.9
2022,9,12,00:00,UTC,5.2
2022,9,12,01:00,UTC,5.8
2022,9,12,02:00,UTC,4.6
2022,9,12,03:00,UTC,3.9
2022,9,12,04:00,UTC,3.7
2022,9,12,05:00,UTC,6.8
2022,9,12,06:00,UTC,10.1
2022,9,12,07:00,UTC,12.1
2022,9,12,08:00,UTC,14.2
2022,9,12,09:00,UTC,14.7
2022,9,12,10:00,UTC,15.2
2022,9,12,11:00,UTC,15.8
2022,9,12,12:00,UTC,15.4
2022,9,12,13:00,UTC,17
2022,9,12,14:00,UTC,15.2
2022,9,12,15:00,UTC,13.3
2022,9,12,16:00,UTC,12
2022,9,12,17:00,UTC,10.7
2022,9,12,18:00,UTC,9.6
2022,9,12,19:00,UTC,8.9
2022,9,12,20:00,UTC,8.3
2022,9,12,21:00,UTC,7
2022,9,12,22:00,UTC,5.7
2022,9,12,23:00,UTC,6.1
2022,9,13,00:00,UTC,6.2
2022,9,13,01:00,UTC,5.5
2022,9,13,02:00,UTC,6.7
2022,9,13,03:00,UTC,6.7
2022,9,13,04:00,UTC,7.5
2022,9,13,05:00,UTC,8.1
2022,9,13,06:00,UTC,9.2
2022,9,13,07:00,UTC,10.4
2022,9,13,08:00,UTC,11.4
2022,9,13,09:00,UTC,12.6
2022,9,13,10:00,UTC,12.5
2022,9,13,11:00,UTC,13.1
2022,9,13,12:00,UTC,12.7
2022,9,13,13:00,UTC,12.6
2022,9,13,14:00,UTC,12.5
2022,9,13,15:00,UTC,11.6
2022,9,13,16:00,UTC,10.9
2022,9,13,17:00,UTC,10.8
2022,9,13,18:00,UTC,10.6
2022,9,13,19:00,UTC,10.9
2022,9,13,20:00,UTC,11.2
2022,9,13,21:00,UTC,11.1
2022,9,13,22:00,UTC,11
2022,9,13,23:00,UTC,10.8
2022,9,14,00:00,UTC,11.1
2022,9,14,01:00,UTC,11.1
2022,9,14,02:00,UTC,11.1
2022,9,14,03:00,UTC,10.9
2022,9,14,04:00,UTC,10.8
2022,9,14,05:00,UTC,11.3
2022,9,14,06:00,UTC,11.9
2022,9,14,07:00,UTC,12.5
2022,9,14,08:00,UTC,13.5
2022,9,14,09:00,UTC,14.2
2022,9,14,10:00,UTC,13.6
2022,9,14,11:00,UTC,13
2022,9,14,12:00,UTC,13
2022,9,14,13:00,UTC,13.3
2022,9,14,14:00,UTC,13.4
2022,9,14,15:00,UTC,12.8
2022,9,14,16:00,UTC,12
2022,9,14,17:00,UTC,11.5
2022,9,14,18:00,UTC,10.5
2022,9,14,19:00,UTC,10.6
2022,9,14,20:00,UTC,10.7
2022,9,14,21:00,UTC,10.8
2022,9,14,22:00,UTC,10.8
2022,9,14,23:00,UTC,11
2022,9,15,00:00,UTC,11
2022,9,15,01:00,UTC,11
2022,9,15,02:00,UTC,11.2
2022,9,15,03:00,UTC,11.5
2022,9,15,04:00,UTC,11
2022,9,15,05:00,UTC,11.1
2022,9,15,06:00,UTC,11.6
2022,9,15,07:00,UTC,11.8
2022,9,15,08:00,UTC,11.1
2022,9,15,09:00,UTC,12
2022,9,15,10:00,UTC,13.4
2022,9,15,11:00,UTC,14.2
2022,9,15,12:00,UTC,14
2022,9,15,13:00,UTC,13.9
2022,9,15,14:00,UTC,14.1
2022,9,15,15:00,UTC,13.2
2022,9,15,16:00,UTC,11.8
2022,9,15,17:00,UTC,10.7
2022,9,15,18:00,UTC,9.6
2022,9,15,19:00,UTC,9.8
2022,9,15,20:00,UTC,10.3
2022,9,15,21:00,UTC,10.2
2022,9,15,22:00,UTC,10.6
2022,9,15,23:00,UTC,10.2
2022,9,16,00:00,UTC,10.6
2022,9,16,01:00,UTC,9.9
2022,9,16,02:00,UTC,9.9
2022,9,16,03:00,UTC,10
2022,9,16,04:00,UTC,9.8
2022,9,16,05:00,UTC,10
2022,9,16,06:00,UTC,10.9
2022,9,16,07:00,UTC,11.2
2022,9,16,08:00,UTC,11.6
2022,9,16,09:00,UTC,11.1
2022,9,16,10:00,UTC,11.6
2022,9,16,11:00,UTC,13.4
2022,9,16,12:00,UTC,11.6
2022,9,16,13:00,UTC,11.4
2022,9,16,14:00,UTC,11
2022,9,16,15:00,UTC,10.8
2022,9,16,16:00,UTC,10.7
2022,9,16,17:00,UTC,10.6
2022,9,16,18:00,UTC,10.6
2022,9,16,19:00,UTC,10.3
2022,9,16,20:00,UTC,10.1
2022,9,16,21:00,UTC,10.2
2022,9,16,22:00,UTC,10.1
2022,9,16,23:00,UTC,9.8
2022,9,17,00:00,UTC,9.8
2022,9,17,01:00,UTC,9.5
2022,9,17,02:00,UTC,9.2
2022,9,17,03:00,UTC,8.9
2022,9,17,04:00,UTC,8.7
2022,9,17,05:00,UTC,8.8
2022,9,17,06:00,UTC,9.2
2022,9,17,07:00,UTC,10.1
2022,9,17,08:00,UTC,10.3
2022,9,17,09:00,UTC,11.2
2022,9,17,10:00,UTC,11.8
2022,9,17,11:00,UTC,12.7
2022,9,17,12:00,UTC,13
2022,9,17,13:00,UTC,12.8
2022,9,17,14:00,UTC,12.9
2022,9,17,15:00,UTC,12.4
2022,9,17,16:00,UTC,11.1
2022,9,17,17:00,UTC,9.9
2022,9,17,18:00,UTC,9.7
2022,9,17,19:00,UTC,9.7
2022,9,17,20:00,UTC,8.6
2022,9,17,21:00,UTC,8.5
2022,9,17,22:00,UTC,8.3
2022,9,17,23:00,UTC,8.6
2022,9,18,00:00,UTC,9